product,subproduct,parameter,site,rows
FilterBased,ChemSpecPM10,Selenium PM10,ETAD,6
FilterBased,ChemSpecPM10,Rubidium PM10,ETAD,6
FilterBased,ChemSpecPM10,Strontium PM10,ETAD,6
FilterBased,ChemSpecPM10,Cadmium PM10,ETAD,6
FilterBased,ChemSpecPM10,Cobalt PM10,ETAD,6
FilterBased,ChemSpecPM10,Tin PM10,ETAD,6
FilterBased,ChemSpecPM10,BC PM10,ETAD,6
FilterBased,ChemSpecPM10,Chromium PM10,ETAD,6
FilterBased,ChemSpecPM10,Cerium PM10,ETAD,6
FilterBased,ChemSpecPM10,Arsenic PM10,ETAD,6
FilterBased,ChemSpecPM10,Lead PM10,ETAD,6
FilterBased,ChemSpecPM10,Zinc PM10,ETAD,6
FilterBased,ChemSpecPM10,Iron PM10,ETAD,6
FilterBased,ChemSpecPM10,Vanadium PM10,ETAD,6
FilterBased,ChemSpecPM10,Titanium PM10,ETAD,6
FilterBased,ChemSpecPM10,Calcium PM10,ETAD,6
FilterBased,ChemSpecPM10,Potassium PM10,ETAD,6
FilterBased,ChemSpecPM10,Chlorine PM10,ETAD,6
FilterBased,ChemSpecPM10,Sulfur PM10,ETAD,6
FilterBased,ChemSpecPM10,Silicon PM10,ETAD,6
FilterBased,ChemSpecPM10,Aluminum PM10,ETAD,6
FilterBased,ChemSpecPM10,Sodium PM10,ETAD,6
FilterBased,ChemSpecPM10,Nitrite Ion PM10,ETAD,6
FilterBased,ChemSpecPM10,EC PM10,ETAD,1
FilterBased,ChemSpecPM10,OC PM10,ETAD,1
FilterBased,ChemSpecPM10,PM10 mass,IDBD,7
FilterBased,ChemSpecPM10,Zinc PM10,IDBD,6
FilterBased,ChemSpecPM10,Lead PM10,IDBD,6
FilterBased,ChemSpecPM10,Arsenic PM10,IDBD,6
