site,n,median,p25,p75,network,ratio
COHI1,411,3.4764031850844823,2.87502516862982,4.382284992036742,IMPROVE,OC_EC
QUCI1,2540,3.5753262241892463,2.8798622286986015,4.537669178675653,IMPROVE,OC_EC
PEFO1,2422,3.580701515151515,2.4505997609493724,5.297238301890977,IMPROVE,OC_EC
ADPI1,888,3.5989356405513253,2.9974176106545873,4.43878247203476,IMPROVE,OC_EC
BOND1,2568,3.7157447669127315,2.985668564132837,4.802963978614676,IMPROVE,OC_EC
FRRE1,2427,3.795098978288633,3.0065254706058813,4.890907159549608,IMPROVE,OC_EC
EGBE1,2236,3.921319590246177,3.0640014892520195,5.284537066533701,IMPROVE,OC_EC
VILA1,2304,4.000001657005404,3.2088125696479093,5.1388848069590365,IMPROVE,OC_EC
SAFO1,959,4.0236406619385345,3.297940227909434,5.071612633238658,IMPROVE,OC_EC
SAWE1,2454,4.026263144588732,2.8680435177983714,5.687211784743556,IMPROVE,OC_EC
DOUG1,1332,4.049516709500355,3.152981142035423,5.576042984618879,IMPROVE,OC_EC
JARI1,2582,4.050624600074956,3.289537113402062,5.1120432524729695,IMPROVE,OC_EC
LASU1,212,4.083485777677977,3.269278340294929,5.1976387769653645,IMPROVE,OC_EC
SYCA1,1367,4.090757701915071,2.8934832805800377,5.8239945538111275,IMPROVE,OC_EC
BLMO1,1451,4.108835341365461,3.160314252640789,5.345042142533908,IMPROVE,OC_EC
HACR1,1181,4.143572621035059,2.404494382022472,7.76991150442478,IMPROVE,OC_EC
SYCA2,972,4.179125804974194,2.892753579540671,6.291313347233821,IMPROVE,OC_EC
BRIS1,1733,4.201063829787234,3.224034334763948,5.444258926277935,IMPROVE,OC_EC
LYBR1,1010,4.2139353151052195,3.343287760686835,5.566884392038654,IMPROVE,OC_EC
AGTI1,1992,4.215641070296023,3.211363465776311,5.598676957204327,IMPROVE,OC_EC
SAGU1,2513,4.225808735046365,3.1484257871064467,5.873053455969402,IMPROVE,OC_EC
QUVA1,1479,4.231032515687393,3.230462576827705,5.957117098171723,IMPROVE,OC_EC
OMAH1,513,4.241333333333333,3.3712006079027357,5.443808532778355,IMPROVE,OC_EC
SNPA1,2409,4.243184296619411,2.864229765013055,6.037150988385509,IMPROVE,OC_EC
QURE1,1513,4.291445874337623,3.4512957998212688,5.648421052631578,IMPROVE,OC_EC
LOND1,1629,4.303189374055515,3.4626035066545975,5.6639361048535735,IMPROVE,OC_EC
LASU2,2087,4.336582568807339,3.462773070828926,5.562101286105387,IMPROVE,OC_EC
CADI1,900,4.339381227146893,3.4392911897959295,5.43518456372292,IMPROVE,OC_EC
BRIG1,2402,4.35214090800913,3.3728588344706028,6.045921059386679,IMPROVE,OC_EC
FRES1,2271,4.378533270219096,3.4058255310633174,5.8775339854497615,IMPROVE,OC_EC
LOST1,2446,4.382489567150994,2.9182789029422076,6.50097510499462,IMPROVE,OC_EC
FOCO1,522,4.398841596996982,3.0329393233790123,6.52166304497316,IMPROVE,OC_EC
MOMO1,2581,4.436329588014981,3.493123772102161,5.939297124600639,IMPROVE,OC_EC
GRRI1,2563,4.478288531891205,3.5545482487666744,5.759257397499153,IMPROVE,OC_EC
PRIS1,2569,4.481343283582089,3.2994201370585134,6.351560072788603,IMPROVE,OC_EC
SHEN1,2488,4.491479588175289,3.5063695869562563,5.890408504538939,IMPROVE,OC_EC
CAVE1,773,4.528128853267572,3.1595539218740263,6.526139519686326,IMPROVE,OC_EC
CHAS1,2288,4.541709600038718,3.532551030214398,5.9832604170496095,IMPROVE,OC_EC
WRIG1,346,4.549308272235033,2.7592255904377883,5.998381187086006,IMPROVE,OC_EC
COGO1,993,4.550802139037434,3.6449925261584455,5.82520699172033,IMPROVE,OC_EC
CABA1,2512,4.575212341868282,3.6392474464708346,5.931026145761289,IMPROVE,OC_EC
MACA1,2582,4.583118613715369,3.6531074817966784,5.853033323981147,IMPROVE,OC_EC
PENO1,2087,4.585295547683545,3.5753892533092944,6.2931778329020815,IMPROVE,OC_EC
CORI1,2556,4.623926521461308,3.3975355000451577,6.489215157781938,IMPROVE,OC_EC
CHER1,853,4.629339039467428,3.6664637857577604,5.824029126213592,IMPROVE,OC_EC
MING1,2078,4.6613164359649595,3.7903091154356874,5.853418049832486,IMPROVE,OC_EC
ELDO1,1483,4.745614035087719,3.9469041177899564,6.02239317093027,IMPROVE,OC_EC
DOSO1,2598,4.778842820644018,3.785765572737162,6.173199590524827,IMPROVE,OC_EC
TOOL1,562,4.780342269755248,2.71593797827454,9.45185792881102,IMPROVE,OC_EC
HILL1,266,4.810079381130549,3.522725781210561,6.621890897424986,IMPROVE,OC_EC
THRO1,2453,4.812135922330097,3.354430379746835,6.927628948420631,IMPROVE,OC_EC
HAVO1,1665,4.814424951267057,2.676190476190476,8.77659574468085,IMPROVE,OC_EC
WARI1,274,4.845721430433539,3.622042472202745,6.556576856020557,IMPROVE,OC_EC
BRMA1,1493,4.8530895334174025,3.8921700223713644,6.109309309309309,IMPROVE,OC_EC
SAGO1,2485,4.862510674637063,3.6557788944723613,6.450664070648773,IMPROVE,OC_EC
BOAP1,2341,4.884833738848337,3.3509913258983897,7.2560491152040445,IMPROVE,OC_EC
JOSH1,2501,4.910689812699863,3.6533945890760595,6.673001508295626,IMPROVE,OC_EC
GLAC1,2482,4.984211136486383,3.8200116587999933,6.8065358212739895,IMPROVE,OC_EC
TALL1,2559,4.989704873026767,3.9798170696312165,6.444960523069331,IMPROVE,OC_EC
