n_components,rmse_mean,rmse_sd,rmse_se,n_folds,cv_scheme,is_local_minimum,within_global_one_se,selected_first_major_minimum,global_minimum_components,selection_threshold,model,df1
12,6.886470595502827,3.354094582324095,1.499996697808088,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
13,7.11522042197465,3.7486536744193177,1.6764488880211916,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
14,7.105518754319218,3.8563388106047394,1.7246071449565767,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
15,7.171902340520587,3.665643692871242,1.6393256957106916,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
16,7.205277759277851,3.394125799291498,1.5178992022803195,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
17,6.935773074742653,2.9995982096329548,1.3414611003851902,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
18,6.869357492942133,2.9840875114011127,1.3345245052602133,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
19,7.172527624897825,2.9532267402435055,1.3207231488309183,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
20,7.0939689399668024,2.7680835028703754,1.2379245759627786,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
21,7.209271637679,2.608723444846279,1.1666565914347404,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
22,7.128684009496057,2.655379983041114,1.1875220296344338,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
23,7.26036690376004,2.6274803618727067,1.1750449397386238,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
24,7.2438880136664725,2.866369490594556,1.2818794059201741,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
25,7.1901158961137455,2.6307173248517506,1.1764925535909823,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
26,7.112611913630408,2.7022108618784775,1.2084654353397142,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
27,7.20405391936208,2.6622466660080057,1.190592903613216,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
28,7.264196216121202,2.847673492658444,1.2735183014617057,5,group-held-out K-fold,False,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
29,7.071549321663975,2.5267294761996943,1.1299877739069906,5,group-held-out K-fold,True,True,False,5,8.277887880616692,"lowest-OCEC 800, AIRSpec df1=6",6
